WellID,SEDIMENT_TYPE,top_meter,bottom_meter,UTMX,UTMY
Clarklind_CPT_1,unknown,0.0,0.1,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,unknown,0.1,0.2,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,unknown,0.2,0.3,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,unknown,0.3,0.4,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,unknown,0.4,0.5,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,unknown,0.5,0.6,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,unknown,0.6,0.7,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,unknown,0.7,0.8,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,unknown,0.8,0.9,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,unknown,0.9,1.0,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,unknown,1.0,1.1,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,unknown,1.1,1.2,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,unknown,1.2,1.3,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,unknown,1.3,1.4,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,unknown,1.4,1.5,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,unknown,1.5,1.6,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,unknown,1.6,1.7,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,unknown,1.7,1.8,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,unknown,1.8,1.9,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,unknown,1.9,2.0,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,unknown,2.0,2.1,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,unknown,2.1,2.2,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,2.2,2.3,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,2.3,2.4,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,2.4,2.5,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,2.5,2.6,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,2.6,2.7,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,2.7,2.8,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,2.8,2.9,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,2.9,3.0,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,3.0,3.1,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,3.1,3.2,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,3.2,3.3,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,3.3,3.4,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,3.4,3.5,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,3.5,3.6,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,3.6,3.7,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,3.7,3.8,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,3.8,3.9,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,3.9,4.0,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,4.0,4.1,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,4.1,4.2,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,4.2,4.3,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,4.3,4.4,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,4.4,4.5,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,4.5,4.6,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,4.6,4.7,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,4.7,4.8,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,4.8,4.9,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,4.9,5.0,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,5.0,5.1,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,5.1,5.2,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,5.2,5.3,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,5.3,5.4,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,5.4,5.5,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,5.5,5.6,47554.446802855775,-199714.85512701143
Clarklind_CPT_1,coarse,5.6,5.7,47554.446802855775,-199714.85512701143
